,sec_id,sec_isin,sec_type,sec_name,iid,security_mnemonic,standard_settlement_period,price_unit,security_subtype,margin_class_code,basket_isin,currency,_id,symbol,yahoo,google,isin,DAX,MDAX,AEX,CAC 40,FTSE 100
186,SMIN,GB00B1WY2338,STOCK,"SMITHS GROUP PLC, REGISTERED SHARES LS -,375",999,QS2A,2,ABSOLUTE,EQUITY,QS2A,False,EUR,Smiths Group PLC,SMIN,QS2A.F,FRA:QS2A,GB00B1WY2338,0,0,0,0,1
187,SK3,IE00B1RR8406,STOCK,SMURFIT KAPPA GROUP PLC,2403,SK3,2,ABSOLUTE,EQUITY,SK30,False,EUR,Smurfit Kappa Group PLC,SKG,SK3.F,FRA:SK3,IE00B1RR8406,0,0,0,0,1
188,SPX,GB00BWFGQN14,STOCK,Spirax-Sarco Engine.,31822478,1LNB,2,ABSOLUTE,EQUITY,1LNB,False,EUR,Spirax-Sarco Engineering PLC,SPX,1LNB.F,FRA:1LNB,GB00BWFGQN14,0,0,0,0,1
189,STJ,GB0007669376,STOCK,St James's Place PLC,31820054,1IV,2,ABSOLUTE,EQUITY,GB1O,False,EUR,St. James's Place PLC,STJ,1IV.F,FRA:1IV,GB0007669376,0,0,0,0,1
190,STAN,GB0004082847,STOCK,"STANDARD CHARTERED PLC REGISTERED SHARES DL 0,50",159,STD,2,ABSOLUTE,EQUITY,STD0,False,EUR,Standard Chartered PLC,STAN,STD.F,FRA:STD,GB0004082847,0,0,0,0,1
191,VOD,GB00BH4HKS39,STOCK,"VODAFONE GROUP PLC , REGISTERED SHARES DL-,11428571",4223554,VODI,2,ABSOLUTE,EQUITY,VODI,False,EUR,Vodafone Group PLC,VOD,VODI.F,FRA:VODI,GB00BH4HKS39,0,0,0,0,1
192,WTB,GB00B1KJJ408,STOCK,"WHITBREAD PLC , REG. SHARES LS -,76797385",1993,WHF4,2,ABSOLUTE,EQUITY,WHF4,False,EUR,Whitbread PLC,WTB,WHF4,FRA:WHF4,GB00B1KJJ408,0,0,0,0,1
193,WPP,JE00B8KF9B49,STOCK,WPP PLC,859,,2,ABSOLUTE,EQUITY,JE07,False,EUR,WPP PLC,WPP,0WP.F,FRA:0WP,JE00B8KF9B49,0,0,0,0,1
194,7MP,GB00BKFB1C65,STOCK,M&G PLC,33782023,7MP,2,ABSOLUTE,EQUITY,MGPR,False,EUR,M&G,MNG,MGPUF,OTCMKTS:MGPUF,GB00BKFB1C65,0,0,0,0,1
195,SSE,GB0007908733,STOCK,SSE PLC,2577,SCT,2,ABSOLUTE,EQUITY,SCT0,False,EUR,SSE plc,SSE,SSE.L,LON:SSE,GB0007908733,0,0,0,0,1
196,HLN,GB00BMX86B70,STOCK,Haleon PLC,54525692,H6D0,2,ABSOLUTE,EQUITY,H6D0,False,GBP,Haleon plc,HLN,HLNCF,OTCMKTS:HLNCF,GB00BMX86B70,0,0,0,0,1
